ticker,years_with_news,total_articles,min_articles_in_active_year,avg_articles_per_year_active,avg_active_period_ratio,min_active_period_ratio,avg_articles_per_period,min_articles_per_period
AMZN,8,1585,195,198.125,0.5719339622641509,0.4339622641509434,3.747278664731495,3.6792452830188678
GOOGL,8,1583,191,197.875,0.5083907837445574,0.41509433962264153,3.742425616835994,3.6037735849056602
AAPL,8,1581,192,197.625,0.6216890420899854,0.5094339622641509,3.737844702467344,3.6226415094339623
META,8,1577,188,197.125,0.45396407837445574,0.32075471698113206,3.728320029027576,3.547169811320755
MSFT,8,1379,127,172.375,0.8226596516690856,0.6981132075471698,3.260068940493469,2.3962264150943398
NFLX,8,1245,96,155.625,0.879671625544267,0.8113207547169812,2.9441672714078377,1.8113207547169812
TSLA,8,1242,76,155.25,0.7990293904208998,0.6792452830188679,2.936955732946299,1.4339622641509433
NVDA,8,444,10,55.5,0.45627721335268506,0.18867924528301888,1.0487572568940493,0.18867924528301888
SBUX,8,267,20,33.375,0.39459361393323655,0.2830188679245283,0.6306240928882438,0.38461538461538464
ORCL,8,205,10,25.625,0.2668269230769231,0.1346153846153846,0.48394412191582004,0.19230769230769232
ADP,8,183,14,22.875,0.24111030478955006,0.16981132075471697,0.432510885341074,0.2641509433962264
CMCSA,8,174,6,21.75,0.2459633526850508,0.11320754716981132,0.41119375907111755,0.11320754716981132
QCOM,8,154,14,19.25,0.290910740203193,0.20754716981132076,0.36411465892597966,0.2641509433962264
PEP,8,131,11,16.375,0.2409288824383164,0.15384615384615385,0.309461175616836,0.21153846153846154
AMD,8,100,3,12.5,0.17711357039187228,0.05660377358490566,0.23607583454281567,0.05660377358490566
ADBE,8,68,2,8.5,0.14173621190130625,0.03773584905660377,0.16060413642960814,0.03773584905660377
CSCO,8,56,1,7.0,0.11352503628447025,0.018867924528301886,0.13243831640058057,0.018867924528301886
GILD,8,34,1,4.25,0.07098149492017417,0.018867924528301886,0.0804154571843251,0.018867924528301886
INTU,8,29,2,3.625,0.06381531204644413,0.03773584905660377,0.0685322931785196,0.03773584905660377
MU,8,29,1,3.625,0.061411465892597966,0.018867924528301886,0.06848693759071117,0.018867924528301886
AVGO,8,27,1,3.375,0.05905297532656023,0.018867924528301886,0.06381531204644413,0.018867924528301886
COST,7,22,1,3.142857142857143,0.05401202571013892,0.018867924528301886,0.05940286128965374,0.018867924528301886
REGN,7,16,1,2.2857142857142856,0.03244868339207962,0.018867924528301886,0.04328218950860461,0.018867924528301886
TXN,7,11,1,1.5714285714285714,0.02700601285506946,0.018867924528301886,0.029753265602322203,0.018867924528301886
VRTX,6,13,1,2.1666666666666665,0.037796323173681666,0.018867924528301886,0.04094097726173198,0.018867924528301886
AMGN,6,12,1,2.0,0.03791727140783744,0.018867924528301886,0.03791727140783744,0.018867924528301886
AMAT,3,3,1,1.0,0.018988872762457667,0.018867924528301886,0.018988872762457667,0.018867924528301886
ISRG,3,3,1,1.0,0.018988872762457667,0.018867924528301886,0.018988872762457667,0.018867924528301886
LRCX,2,2,1,1.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
KLAC,1,1,1,1.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
